"","duration","maxGrip","maxGripTime","maxGripTimeRel","condition","type","period","gripType","num","file","obsisSubj","obsisSession","obsisTrial","fins","stick","stickcm","orientation","stickcmCentered","stickFiveRef","stickNineRef","stickElevenRef","finsSumCoded"
"42",0.616666666666667,102.027184428676,0.0333333333333333,0.0540540540540541,"9","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_010.csv","063","001","010","closed","nine",9,"horizontal",1,"nine","nine","nine","closed"
"43",0.658333333333333,118.754417824698,0.25,0.379746835443038,"10","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_010.csv","063","001","010","none","eleven",11,"horizontal",3,"eleven","eleven","eleven","none"
"44",0.65,119.308643954845,0.65,1,"11","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_010.csv","063","001","010","open","eleven",11,"horizontal",3,"eleven","eleven","eleven","open"
"45",0.8,115.756292568214,0.783333333333333,0.979166666666667,"12","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_010.csv","063","001","010","closed","eleven",11,"horizontal",3,"eleven","eleven","eleven","closed"
"46",0.525,72.1615043484279,0,0,"1","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_011.csv","063","001","011","none","five",5,"horizontal",-3,"five","five","five","none"
"47",0.441666666666667,74.4714914755119,0.075,0.169811320754717,"2","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_011.csv","063","001","011","open","five",5,"horizontal",-3,"five","five","five","open"
"48",0.508333333333333,73.1808451746752,0,0,"3","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_011.csv","063","001","011","closed","five",5,"horizontal",-3,"five","five","five","closed"
"49",0.466666666666667,89.6844891512476,0,0,"4","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_011.csv","063","001","011","none","seven",7,"horizontal",-1,"seven","seven","seven","none"
"50",0.533333333333333,88.7382730087762,0.308333333333333,0.578125,"5","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_011.csv","063","001","011","open","seven",7,"horizontal",-1,"seven","seven","seven","open"
"51",0.558333333333333,80.9862315487361,0.233333333333333,0.417910447761194,"6","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_011.csv","063","001","011","closed","seven",7,"horizontal",-1,"seven","seven","seven","closed"
"52",0.808333333333333,98.857598529908,0.341666666666667,0.422680412371134,"7","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_011.csv","063","001","011","none","nine",9,"horizontal",1,"nine","nine","nine","none"
"53",0.55,108.653120638708,0,0,"8","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_011.csv","063","001","011","open","nine",9,"horizontal",1,"nine","nine","nine","open"
"54",0.4,102.659476619686,0,0,"9","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_011.csv","063","001","011","closed","nine",9,"horizontal",1,"nine","nine","nine","closed"
"55",0.541666666666667,124.360003824086,0.458333333333333,0.846153846153846,"10","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_011.csv","063","001","011","none","eleven",11,"horizontal",3,"eleven","eleven","eleven","none"
"56",0.541666666666667,118.936611553178,0,0,"11","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_011.csv","063","001","011","open","eleven",11,"horizontal",3,"eleven","eleven","eleven","open"
"57",0.533333333333333,120.523095810301,0.15,0.28125,"12","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_011.csv","063","001","011","closed","eleven",11,"horizontal",3,"eleven","eleven","eleven","closed"
"58",0.533333333333333,98.9342754203962,0.05,0.09375,"1","ESTIMATION","STEADY",NA,0,"./ABtestENG/GRI_063/GRI_063-SESSION_001-TRIAL_012.csv","063","001","012","none","five",5,"horizontal",-3,"five","five","five","none"
